State,PercentApp,CollegeComp,PovertyRate,UnemployRate
Alabama,50.87365989,79.10%,124.50%,101.00%
Georgia,19.78367851,97.20%,114.10%,101.10%
Maryland,15.75151952,125.70%,67.20%,100.70%
Mississippi,26.42727757,69.20%,147.70%,122.20%
New York,24.7883379,114.00%,104.20%,105.50%
North Carolina,24.4518942,96.80%,109.70%,100.20%
Ohio ,39.10904418,88.10%,103.50%,117.50%
Pennsylvania ,81.45060349,97.60%,90.80%,110.20%
Tennessee,48.79214164,84.40%,114.80%,89.60%
Virginia,28.31602937,121.10%,77.90%,76.20%
West Virginia,100,64.30%,126.40%,134.90%
Kentucky,46.16689882,74.90%,127.70%,111.20%
South Carolina,12.71874376,86.90%,113.90%,87.90%
