Area,CollegeCompS,CollegeCompA,PovRateS,PovrateA,UmRateS,UmRateA,CollegeCompD,PovRateD,UmRateD
Alabama,79.10%,81.20%,124.50%,115.40%,101.00%,95.20%,-2.10%,-9.10%,-5.80%
Georgia,97.20%,88.60%,114.10%,90.60%,101.10%,92.00%,8.60%,-23.50%,-9.10%
Maryland,125.70%,64.60%,67.20%,95.10%,100.70%,120.80%,61.10%,27.90%,20.10%
Mississippi,69.20%,59.20%,147.70%,146.30%,122.20%,119.00%,10.00%,-1.40%,-3.20%
New York,114.00%,83.90%,104.20%,114.70%,105.50%,122.10%,30.10%,10.50%,16.60%
North Carolina,96.80%,84.30%,109.70%,114.60%,100.20%,92.40%,12.50%,4.90%,-7.80%
Ohio ,88.10%,56.60%,103.50%,121.10%,117.50%,140.30%,31.50%,17.60%,22.80%
Pennsylvania ,97.60%,86.00%,90.80%,92.60%,110.20%,116.60%,11.60%,1.80%,6.40%
Tennessee,84.40%,71.90%,114.80%,118.60%,89.60%,93.30%,12.50%,3.80%,3.70%
Virginia,121.10%,64.90%,77.90%,134.40%,76.20%,92.40%,56.20%,56.50%,16.20%
West Virginia,64.30%,64.30%,126.40%,126.40%,134.90%,134.90%,0.00%,0.00%,0.00%
Kentucky,74.90%,47.00%,127.70%,179.70%,111.20%,145.10%,27.90%,52.00%,33.90%
South Carolina,86.90%,86.40%,113.90%,104.10%,87.90%,80.00%,0.50%,-9.80%,-7.90%
